"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1347","SLP",1,50,50,"5",2015,81,93,85,13,4,1,2016,0,NA,"1",82,93,87,63,114,0.5,3,207384.646844484,167631.457004734,173693.945427999,0.035526954756083,4,13,228,126,17,354,5.86929691313377,1,FALSE
"1348","SLP",1,50,50,"4",2015,59,101,79,0,0,1,2016,0,NA,"1",63,115,82,14,37,0.25,3,207384.646844484,123244.941599715,155532.398297597,0.232680288805035,0,0,148,56,0,204,5.31811999384422,1,FALSE
"1349","SLP",1,55,50,"8",2016,69,128,124,9,103,0.125,2017,0,NA,"1",72,124,95,1,32,0.25,9,825516.563383178,286714.311937219,222047.768755727,-0.25559375790028,824,72,128,4,896,132,4.88280192258637,1,FALSE
"1350","SLP",1,55,50,"6",2014,58,77,67,18,4,1,2015,0,NA,"1",54,91,76,0,4,1,9,825516.563383178,78336.1364160371,97772.6465650215,0.221635841576385,4,18,4,0,22,4,1.38629436111989,1,FALSE
"1351","SLP",1,55,50,"6",2015,54,91,76,0,4,1,2016,0,NA,"1",62,89,78,20,45,0.5,9,825516.563383178,97772.6465650215,112679.503706305,0.141902688099368,4,0,90,40,4,130,4.86753445045558,1,FALSE
"1352","SLP",1,55,50,"9",2016,83,112,78,18,52,0.2,2017,0,NA,"1",73,90,80,3,34,0.5,9,825516.563383178,189827.59450051,137601.758227233,-0.321752559628745,260,90,68,6,350,74,4.30406509320417,1,FALSE
"1353","SLP",1,55,50,"6",2016,62,89,78,20,45,0.5,2017,0,NA,"1",58,94,92,15,6,0.25,9,825516.563383178,112679.503706305,131314.384129849,0.15304678839864,90,40,24,60,130,84,4.43081679884331,1,FALSE
"1354","SLP",1,55,50,"10",2014,57,56,54,30,45,1,2015,0,NA,"1",62,77,69,22,10,1,9,825516.563383178,45125.8368761638,86238.2891373666,0.647659306362062,45,30,10,22,75,32,3.46573590279973,1,FALSE
"1355","SLP",1,55,50,"10",2015,62,77,69,22,10,1,2016,0,NA,"1",68,87,62,24,43,0.5,9,825516.563383178,86238.2891373666,96025.9210496256,0.107503897379747,10,22,86,48,32,134,4.89783979995091,1,FALSE
"1356","SLP",1,55,50,"8",2015,62,121,79,4,2,1,2016,0,NA,"1",69,128,124,9,103,0.125,9,825516.563383178,155157.501574268,286714.311937219,0.61404555101306,2,4,824,72,6,896,6.79794041297493,1,FALSE
"1357","SLP",1,55,50,"7",2015,58,98,88,0,0,1,2016,0,NA,"1",69,111,102,92,178,0.5,9,825516.563383178,130949.959382032,204522.394137676,0.445862215498666,0,0,356,184,0,540,6.29156913955832,1,FALSE
"1358","SLP",1,55,50,"9",2014,58,88,68,17,12,1,2015,0,NA,"1",62,67,68,0,0,1,9,825516.563383178,90863.2371222264,73950.9966704013,-0.205952820588568,12,17,0,0,29,0,NA,0,FALSE
"1359","SLP",1,55,50,"10",2016,68,87,62,24,43,0.5,2017,0,NA,"1",72,80,65,13,63,0.5,9,825516.563383178,96025.9210496256,98017.6907920016,0.0205298147097928,86,48,126,26,134,152,5.02388052084628,1,FALSE
"1360","SLP",1,55,50,"7",2016,69,111,102,92,178,0.5,2017,0,NA,"1",74,102,100,2,107,0.25,9,825516.563383178,204522.394137676,197606.177910798,-0.0344014267173325,356,184,428,8,540,436,6.07764224334903,1,FALSE
"1361","SLP",1,55,50,"9",2015,62,67,68,0,0,1,2016,0,NA,"1",83,112,78,18,52,0.2,9,825516.563383178,73950.9966704013,189827.59450051,0.942713596169119,0,0,260,90,0,350,5.85793315448346,1,FALSE
"1362","SLP",1,55,50,"7",2014,61,84,75,20,130,0.5,2015,0,NA,"1",58,98,88,0,0,1,9,825516.563383178,100609.504731213,130949.959382032,0.263568527142263,260,40,0,0,300,0,NA,0,FALSE
"1363","SLP",1,55,50,"8",2014,56,101,99,100,27,1,2015,0,NA,"1",62,121,79,4,2,1,9,825516.563383178,146592.996401807,155157.501574268,0.0567807253978554,27,100,2,4,127,6,1.79175946922805,1,FALSE
"1364","SLP",2,0,0,"5",2014,32,47,37,0,0,1,2015,0,NA,"1",34,57,43,0,0,1,13,1040633.97874509,14568.6123322471,21816.7901828543,0.403810490990264,0,0,0,0,0,0,NA,0,FALSE
"1365","SLP",2,0,0,"3",2016,58,91,79,6,81,1,2017,0,NA,"1",65,92,78,0,8,1,13,1040633.97874509,109160.396335509,122113.706445035,0.112134304103979,81,6,8,0,87,8,2.07944154167984,1,FALSE
"1366","SLP",2,0,0,"7",2015,71,97,82,14,12,1,2016,0,NA,"1",75,106,80,11,127,0.25,13,1040633.97874509,147847.015469365,166504.410640259,0.118843739513308,12,14,508,44,26,552,6.31354804627709,1,FALSE
"1367","SLP",2,0,0,"3",2015,71,86,72,0,0,1,2016,0,NA,"1",58,91,79,6,81,1,13,1040633.97874509,115095.388456916,109160.396335509,-0.052942922780586,0,0,81,6,0,87,4.46590811865458,1,FALSE
"1368","SLP",2,0,0,"6",2014,52,56,49,6,23,1,2015,0,NA,"1",56,62,43,1,0,1,13,1040633.97874509,37355.631046285,39085.6014008618,0.0452704840466005,23,6,0,1,29,1,0,1,FALSE
"1369","SLP",2,0,0,"7",2014,68,91,74,14,8,1,2015,0,NA,"1",71,97,82,14,12,1,13,1040633.97874509,119881.081265884,147847.015469365,0.209677797911825,8,14,12,14,22,26,3.25809653802148,1,FALSE
"1370","SLP",2,0,0,"1",2016,46,80,76,0,2,1,2017,0,NA,"1",44,83,81,0,1,1,13,1040633.97874509,73220.0527796661,77443.400503642,0.0560780249379906,2,0,1,0,2,1,0,1,FALSE
"1371","SLP",2,0,0,"4",2016,53,92,77,4,26,1,2017,0,NA,"1",54,97,63,0,1,1,13,1040633.97874509,98293.1037479662,86392.2271773925,-0.129056160995656,26,4,1,0,30,1,0,1,FALSE
"1372","SLP",2,0,0,"7",2016,75,106,80,11,127,0.25,2017,0,NA,"1",74,100,87,2,41,0.125,13,1040633.97874509,166504.410640259,168546.445865092,0.0121895555245857,508,44,328,16,552,344,5.8406416573734,1,FALSE
"1373","SLP",2,0,0,"2",2016,43,65,48,0,0,1,2017,0,NA,"1",42,63,54,0,0,1,13,1040633.97874509,35123.0058671339,37406.9437262937,0.0629999947420856,0,0,0,0,0,0,NA,0,FALSE
"1374","SLP",2,0,0,"2",2015,42,60,51,0,0,1,2016,0,NA,"1",43,65,48,0,0,1,13,1040633.97874509,33646.4573199467,35123.0058671339,0.0429485832672949,0,0,0,0,0,0,NA,0,FALSE
"1375","SLP",2,0,0,"2",2014,38,56,47,0,0,1,2015,0,NA,"1",42,60,51,0,0,1,13,1040633.97874509,26184.1275701197,33646.4573199467,0.250754361058201,0,0,0,0,0,0,NA,0,FALSE
