"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","seeds.emp","seeds.PMod","seeds.FMod","recruits","recruit.prob"
"65","FPS",1,145,150,"1",2013,67,130,94,0,19,1,2014,0,NA,"1",71,157,113,45,2,1,1,12.275345088178,12.275345088178,12.7061367371634,0.0344922980327094,19,0,2,45,19,47,3.85014760171006,1,FALSE,2143,2143,4868.2401299808,0,0
"66","FPS",1,150,150,"3",2015,46,44,38,0,0,1,2016,0,NA,"1",51,49,37,2,12,1,1,12.862455689374,9.91024042619514,10.0943870795406,0.0184109256546658,0,0,12,2,0,14,2.63905732961526,1,FALSE,8766,8766,4858.74333456264,0,0
"67","FPS",1,150,150,"4",2013,107,118,110,0,20,1,2014,0,NA,"1",94,120,112,254,136,0.5,1,12.862455689374,12.8038170607814,12.7091086324085,-0.00742438280503659,20,0,272,508,20,780,6.65929391968364,1,FALSE,8766,8766,4858.74333456264,0,0
"68","FPS",1,150,150,"2",2013,184,92,87,7,0,1,2014,0,NA,"1",98,154,109,239,191,1,1,12.862455689374,12.862455689374,12.9730911993747,0.00856464829371581,0,7,191,239,7,430,6.06378520868761,1,FALSE,8766,8766,4858.74333456264,0,0
"69","FPS",1,150,150,"3",2013,32,22,16,0,0,1,2014,0,NA,"1",40,32,27,0,0,1,1,12.862455689374,7.98919031445922,9.11027545897939,0.131313530525889,0,0,0,0,0,0,NA,0,FALSE,8766,8766,4858.74333456264,0,0
"70","FPS",1,150,150,"3",2014,40,32,27,0,0,1,2015,0,NA,"1",46,44,38,0,0,1,1,12.862455689374,9.11027545897939,9.91024042619514,0.08416566121104,0,0,0,0,0,0,NA,0,FALSE,8766,8766,4858.74333456264,0,0
"71","FPS",1,150,150,"4",2014,94,120,112,254,136,0.5,2015,0,NA,"1",92,141,129,14,2,1,1,12.862455689374,12.7091086324085,12.9901841078503,0.0218750520877924,272,508,2,14,780,16,2.77258872223978,1,FALSE,8766,8766,4858.74333456264,0,0
"72","FPS",1,150,150,"2",2016,107,152,144,155,392,0.125,2017,0,NA,"1",111,161,151,2,180,0.0625,1,12.862455689374,13.3263458909456,13.4680376391731,0.0105763261060582,3136,1240,2880,32,4376,2912,7.97659540931658,1,FALSE,8766,8766,4858.74333456264,0,0
"73","FPS",1,150,150,"2",2015,105,138,136,121,50,1,2016,0,NA,"1",107,152,144,155,392,0.125,1,12.862455689374,13.1536921571122,13.3263458909456,0.0130404782817168,50,121,3136,1240,171,4376,8.38389034410182,1,FALSE,8766,8766,4858.74333456264,0,0
"74","FPS",1,150,150,"2",2014,98,154,109,239,191,1,2015,0,NA,"1",105,138,136,121,50,1,1,12.862455689374,12.9730911993747,13.1536921571122,0.0138251871172237,191,239,50,121,430,171,5.14166355650266,1,FALSE,8766,8766,4858.74333456264,0,0
"75","FPS",1,150,150,"4",2015,92,141,129,14,2,1,2016,0,NA,"1",85,148,143,145,224,0.125,1,12.862455689374,12.9901841078503,13.0625313965757,0.00555392966100523,2,14,1792,1160,16,2952,7.99023818572036,1,FALSE,8766,8766,4858.74333456264,0,0
