"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","recruits.1y","recruits.4y"
"1399","SLP",2,0,0,"2",2016,43,65,48,0,0,1,2017,0,NA,"1",42,63,54,0,0,1,13,1040633.97874509,10.4666116325585,10.5296116273006,0.00600109677167548,0,0,0,0,0,0,NA,0,FALSE,0,0
"1400","SLP",2,0,0,"2",2015,42,60,51,0,0,1,2016,0,NA,"1",43,65,48,0,0,1,13,1040633.97874509,10.4236630492912,10.4666116325585,0.0041118314079549,0,0,0,0,0,0,NA,0,FALSE,0,0
"1401","SLP",2,0,0,"5",2014,32,47,37,0,0,1,2015,0,NA,"1",34,57,43,0,0,1,13,1040633.97874509,9.58662465321541,9.99043514420567,0.0412592880032152,0,0,0,0,0,0,NA,0,FALSE,0,0
"1402","SLP",2,0,0,"3",2016,58,91,79,6,81,1,2017,0,NA,"1",65,92,78,0,8,1,13,1040633.97874509,11.6005736055917,11.7127079096957,0.00961985285393219,81,6,8,0,87,8,2.07944154167984,1,FALSE,0,0
"1403","SLP",2,0,0,"6",2016,55,69,47,13,59,0.25,2017,0,NA,"1",58,65,47,5,26,0.5,13,1040633.97874509,10.7514105276012,10.7448011182135,-0.000614937153099682,236,52,52,10,288,62,4.12713438504509,1,FALSE,0,0
"1404","SLP",2,0,0,"6",2014,52,56,49,6,23,1,2015,0,NA,"1",56,62,43,1,0,1,13,1040633.97874509,10.5282389434886,10.5735094275352,0.00429069219319844,23,6,0,1,29,1,0,1,FALSE,0,0
"1405","SLP",2,0,0,"5",2016,33,52,35,0,2,1,2017,0,NA,"1",34,43,42,0,1,1,13,1040633.97874509,9.66292257759872,9.68505349465449,0.00228767356594561,2,0,1,0,2,1,0,1,FALSE,0,0
"1406","SLP",2,0,0,"4",2016,53,92,77,4,26,1,2017,0,NA,"1",54,97,63,0,1,1,13,1040633.97874509,11.4957091485162,11.3666529875206,-0.0112899560465154,26,4,1,0,30,1,0,1,FALSE,0,0
"1407","SLP",2,0,0,"1",2015,38,76,69,0,0,1,2016,0,NA,"1",46,80,76,0,2,1,13,1040633.97874509,10.8622492406714,11.2012246075107,0.0307297068185286,0,0,2,0,0,2,0.693147180559945,1,FALSE,0,0
"1408","SLP",2,0,0,"1",2016,46,80,76,0,2,1,2017,0,NA,"1",44,83,81,0,1,1,13,1040633.97874509,11.2012246075107,11.2573026324487,0.00499392866544079,2,0,1,0,2,1,0,1,FALSE,0,0
"1409","SLP",2,0,0,"4",2014,41,83,60,8,5,1,2015,0,NA,"1",48,65,74,0,0,1,13,1040633.97874509,10.8865804727844,11.0094766100691,0.0112255304555293,5,8,0,0,13,0,NA,0,FALSE,0,0
"1410","SLP",2,0,0,"6",2015,56,62,43,1,0,1,2016,0,NA,"1",55,69,47,13,59,0.25,13,1040633.97874509,10.5735094275352,10.7514105276012,0.0166851953173586,0,1,236,52,1,288,5.66296048013595,1,FALSE,0,0
"1411","SLP",2,100,100,"6",2014,14,33,26,0,0,1,2015,0,NA,"1",21,49,40,0,0,1,1,3144.73424624338,8.05348466516462,9.28504542600939,0.142300211774652,0,0,0,0,0,0,NA,0,FALSE,0,0
"1412","SLP",2,100,100,"1",2014,40,63,62,66,127,0.5,2015,0,NA,"1",48,70,68,6,1,1,1,3144.73424624338,10.618971801612,10.9990271941948,0.0351646380435198,254,132,1,6,386,7,1.94591014905531,1,FALSE,0,0
"1413","SLP",2,100,100,"9",2016,51,77,44,53,43,0.5,2017,0,NA,"1",52,83,62,42,123,0.25,1,3144.73424624338,10.7196439245577,11.1570419474845,0.0399929242515933,86,106,492,168,192,660,6.49223983502047,1,FALSE,0,0
"1414","SLP",2,100,100,"4",2015,53,69,52,69,50,1,2016,0,NA,"1",66,90,49,54,126,0.25,1,3144.73424624338,10.8154653727922,11.2411079465287,0.038600322574613,50,69,504,216,119,720,6.5792512120101,1,FALSE,0,0
