"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"140","T1","AD20",0,2005,125,81,34,12,2,7,5,8,2006,0,1,125,54,26,5,19,19,0,46,"","liom","liom"
"141","T1","AD21",0,2005,117,119,56,19,6,6,0,25,2006,0,1,92,122,78,16,3,3,0,49,"","liom","liom"
"142","T1","AD22",0,2005,84,45,34,6,6,6,0,3,2006,0,1,84,40,28,6,1,2,1,41,"","liom","liom"
"143","T1","AD23",0,2005,107,93,72,7,31,31,0,29,2006,0,1,88,105,90,6,5,7,2,55,"","liom","liom"
"144","T1","AD27",0,2005,132,63,52,7,23,25,2,0,2006,0,1,114,49,45,4,5,22,17,15,"","vacant","crem"
"145","T1","AD28",0,2005,96,70,43,6,5,5,0,23,2006,0,1,99,64,42,5,0,0,NA,8,"","crem","crem"
"146","T1","AD3",0,2005,95,59,50,6,9,13,4,33,2006,0,1,97,58,54,1,1,1,0,18,"","crem","crem"
"147","T1","AD4",0,2005,103,98,29,15,17,18,1,4,2006,0,1,113,107,34,3,3,5,2,0,"","other","vacant"
"148","T1","AD6",0,2005,78,84,54,16,1,1,0,36,2006,0,1,85,93,63,0,0,0,NA,32,"","liom","crem"
"149","T1","AD8",0,2005,174,82,79,14,21,21,0,55,2006,0,1,171,86,73,11,16,19,3,72,"","liom","liom"
"150","T1","AD9",0,2005,87,63,31,8,6,6,0,0,2006,0,1,89,78,35,7,0,4,4,26,"","vacant","crem"
"151","T1","LJ11",0,2005,58,39,28,4,0,0,NA,18,2006,0,1,5,40,28,0,0,0,NA,3,"","crem","crem"
"152","T1","LJ12",0,2005,76,72,31,9,0,0,NA,23,2006,0,1,80,68,24,9,0,0,NA,20,"","crem","crem"
"153","T1","LJ13",0,2005,73,37,22,5,0,0,NA,0,2006,0,1,67,30,29,0,0,0,NA,0,"","vacant","vacant"
"154","T1","LJ14",0,2005,66,40,29,7,1,1,0,0,2006,0,1,62,33,28,0,0,0,NA,0,"","vacant","vacant"
"155","T1","LJ15",0,2005,46,19,21,5,0,0,NA,0,2006,0,1,21,8,2,0,0,0,NA,0,"","vacant","vacant"
"156","T1","LJ16",0,2005,70,69,52,11,0,0,NA,41,2006,0,1,75,74,53,9,0,3,3,74,"","liom","liom"
"157","T1","LJ17",0,2005,49,34,28,10,0,0,NA,12,2006,0,1,46,35,35,1,0,0,NA,0,"","crem","vacant"
"158","T1","LJ3",0,2005,49,34,24,5,0,0,NA,2,2006,0,1,49,36,29,6,0,0,NA,0,"","camp","vacant"
"159","T1","LJ8",0,2005,48,45,21,5,0,0,NA,1,2006,0,1,48,32,23,0,0,0,NA,8,"","liom","liom"
"160","T1","LJ9",0,2005,77,45,39,4,0,0,NA,26,2006,0,1,82,52,35,3,0,1,1,21,"","crem","crem"
"161","T1","SJ11",0,2005,34,26,23,0,0,0,NA,0,2006,0,1,37,24,20,1,0,0,NA,5,"","vacant","liom"
