"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","age","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"1598",44.6993863734155,25.2066277910566,3.79995977386121,3.22710696751856,"1933","P7E1",11,0,0,0,0.101472396034965,1.19629420120388,0.13605,"Control"
"6071",44.7333398536655,66.353529572125,3.80071908162949,4.19499695562747,"2008","P10E1",2,65.002469931875,0,0.00505984092383296,0.0396988907157557,6.25e-06,0.64708,"ControlModern"
"2250",44.7428107915584,37.6583546069039,3.80093077911223,3.62855483153911,"1938","P7E1",9,4.30594807209333,0.323775484278118,0.00538,0.181050079229864,0.05091625,0.04667,"Control"
"2012",44.7603851959973,34.9331672164765,3.80132348921539,3.55343672795399,"1940","P7E1",18,0.0705304348035495,0.936996509871825,0.0562713120988669,0.000129222786855651,0.149970351685143,0.15612,"Control"
"4313",44.8698469501828,21.4624594396574,3.80376600902114,3.06630533639804,"1939","P1E1",17,2.07867982750303,0.0968821003505114,0.0116953785848835,0.0289352482147921,0.0172443174408284,0.00011,"Control"
"3855",44.8734758853787,6.76667538707368,3.80384688267465,1.9120098861089,"1941","E1",10,0,0,0.161218490274819,0.00190502119631199,0.472156531770656,0.48677,"Control"
"4839",44.9730319692149,43.2035608646245,3.80606302055154,3.76592291927497,"1941","P1E1",12,0,1.28831575643255,0.0243633611507599,0.00753233595121691,0.002702741763396,0.10864,"Control"
"4397",44.9888603874492,50.0381413359837,3.80641491217994,3.9127855413434,"1950","P1E1",28,0,5.74785933471828,0.261124320289513,0.00596013142104143,0.000432075538643252,0.04879,"Control"
"4157",45.0026234430748,13.5635364874249,3.80672078680601,2.60738505141652,"1945","E1",14,3.05746268429087,0,0.237732071943827,0.101079022865391,0.0317256986527448,1.28558,"Control"
"727",45.0260176060418,28.4827278463118,3.80724049171816,3.34929786307756,"1955","P1",11,62.6165509942786,0,0.00378866053403594,0.282243598175927,0.00219989592258477,0.115,"Control"
"2155",45.1629161281593,85.6136267273996,3.81027631045089,4.44984446121885,"1932","P7E1",3,0.0721626000123456,0,0.476292842155405,0.143174295604718,0.662153544408523,0,"Control"
"1923",45.1646386127799,8.51477570617455,3.81031444908147,2.14180297274301,"1933","P7E1",11,0,0,0.00832345940327228,0.00280216617110034,1.98022688145722,1.67692,"Control"
"4818",45.1655105925278,38.3846559764737,3.81033375558668,3.64765779579275,"1937","P1E1",8,0,1.02892293487151,0.0130357316361367,0.00237563314972678,0.000299192207384914,0,"Control"
"1208",45.4439,37.8255248369994,3.81647859819472,3.63298413497801,"1934","P1",5,1.73630201074004,0,0.105947182506619,0.566659269939795,0.484833511849991,0.05228,"Control"
"2982",45.5113731461988,46.7780248273876,3.81796225397941,3.84541353767779,"1939","P10E1",8,0,0.553980947084703,0,0.0199322582828307,0.00561333771582489,0,"Control"
"2781",45.5501036551096,32.0247340889684,3.81881289933696,3.46650854451549,"1933","P10E1",2,0.447650670776199,0,0.309828653074762,0.382608359561529,0.00189025020316552,0.45006,"Control"
"13511",45.5722889419745,93.139148917995,3.81929983315577,4.5340945998487,"2013","E1",3,0,0,0.420021995502708,0.0603158761124221,0.230012411776521,0.05198,"No_shrub"
"39100",45.5892446210555,68.47069563248,3.81967182512681,4.22640585274954,"2012","E1",6,0.0007375,0.00224913699167427,0.0827518836966884,0.0447400349539713,16.5627638590287,0.33864,"ControlModern"
"3929",45.603516212078,37.1167405063218,3.81998482346151,3.61406809442678,"1933","E1",2,0,0,0.474818223045923,0,0.191087671755541,0.28183,"Control"
"3961",45.6363491097379,48.0146710142454,3.82070452858079,3.87150661033774,"1938","E1",7,0.0387624777301514,0,0.286891426805446,8.56290748245669e-10,0.087112612353432,0.01019,"Control"
"28100",45.637267451884,1.817413156763,3.82072465141981,0.597414147585469,"2010","E1",4,0,2.533742578826e-05,0.0921297888597347,0.0234261173353592,48.4006529554358,0.00479,"ControlModern"
"3844",45.6888930160139,44.8734758853787,3.82185522713578,3.80384688267465,"1940","E1",9,0,0,0.107337512056746,0.00724026842240746,1.16811153162324,0.11797,"Control"
"2924",45.791626549378,23.387936153704,3.82410124797256,3.15222034043557,"1933","P10E1",2,0,0.345836757626148,0,0.0818477396794071,0.4031420463925,6e-05,"Control"
"1870",45.8229802989491,20.7629558497803,3.82478571853623,3.03317043013634,"1926","P7E1",4,0,0.180622213850816,0,0.169085394170741,0.0314909680964412,0.00041,"Control"
"1975",45.8570048699358,32.7749099787575,3.82552796500335,3.48966328300244,"1937","P7E1",15,0.0650656670456806,0.483789200638993,0.0168784132009686,0.000141099404787993,0.00388102583981139,0.05309,"Control"
"2464",45.9392548433286,28.1938605205901,3.82731997691453,3.33910424220555,"1933","P7E1",4,1.57759971812299,0.315540757795842,0.0271267018259589,0.157211637895377,8.16269988258854,0.27331,"Control"
"1001",46.0437713401083,48.8940285363262,3.82959249492347,3.88965527320253,"1940","P1",11,0,1.02930987859081e-06,0.133580236944531,0.0227955795959041,0.0104794406188142,0.00041,"Control"
"698",46.0522717726175,47.1874317338732,3.8297770942232,3.85412758030882,"1951","P1",7,0,0,0.022710591496314,0.926747804717872,0.489713710650828,0.33917,"Control"
"637",46.0859522353097,13.808534281705,3.83050817981889,2.62528682722698,"1946","P1",2,0.0466608890517301,0,0.0664684447820062,0.591609384207765,1.03683064417176,0.22851,"Control"
"2159",46.1171351316654,12.8862900516514,3.83118457577124,2.55616395951569,"1932","P7E1",3,0,0,0,1.56272118368366,0.00010362885830146,0.04667,"Control"
"13410",46.1516805844035,23.4290642441775,3.83193337598254,3.15397731336011,"2014","P7E1",8,0.758765036225773,0.00128741872888909,0.0938429954224151,0.0502601370245992,0.596690630607925,0.15955,"ControlModern"
"2861",46.1626991167721,46.473708955595,3.83217209355735,3.83888675389072,"1946","P10E1",15,0.65967129090165,0.356884634191751,0.190850923236016,0.00151568725479651,0.00413118444623826,0.15533,"Control"
"3792",46.1911975610351,32.3454856974401,3.83278925095282,3.47647446553532,"1935","E1",4,0.242977950247506,0,0.0177951791143267,0.0204945174170984,9.86845010851727,1.08783,"Control"
"1952",46.3691153641186,43.6235563517813,3.83663362045815,3.77559728775225,"1935","P7E1",13,0.0953103430613145,0.598166654755944,0.0385378396094871,7.2318003317109e-05,0.0578243042831472,0.0169,"Control"
"1612",46.3854208142668,22.5886113144489,3.8369852032699,3.11744585512637,"1934","P7E1",12,0.000737500000000001,0,0.00145130681190836,0.0301807137161216,0.0228410690455461,0.14001,"Control"
"4386",46.4142138082298,79.9628670493994,3.83760574439604,4.3815623650349,"1949","P1E1",27,0,0,0,0,0.00444242849919009,0.00482,"Control"
"4828",46.4212303754921,19.8733743079608,3.83775690578353,2.98938086136906,"1939","P1E1",10,0,0.92306846271655,0.14999937009002,2.59698069271507e-10,0.842715701679798,0.00286,"Control"
"13441",46.486142803284,51.209929130903,3.83915426395077,3.93593344158174,"2012","E1",2,0,0,0.955664535066227,0.492615154195222,10.3391510024845,0.05465,"No_shrub"
"3209",46.640406408283,17.5084760544651,3.84246725573247,2.86268510964125,"1954","P10E1",15,0.0124084160357095,0,0.00149503950234225,0.0534736622328918,61.6373402101421,0.05688,"Control"
"1935",46.6529083967621,69.7751787007741,3.84273527040383,4.24527834051942,"1934","P7E1",12,46.589761186383,0,0.00274354456025524,7.84576817199694e-05,0.395224296810037,0.05146,"Control"
"1661",46.6888731763543,50.3552479845923,3.84350587453771,3.91910284381427,"1939","P7E1",17,0.00818,0,0.00053371972750678,0.00422992086972119,0.00725769788216777,0.21382,"Control"
"862",46.7527178868124,18.9467822037794,3.84487239066114,2.94163411256011,"1933","P1",4,0.0182978650097922,0,0.000157259961880186,0.793005386580781,1.98026930059526,0,"Control"
"2990",46.7780248273876,19.465103305662,3.84541353767779,2.96862328830043,"1940","P10E1",9,8.42232078831608e-05,0.536141623938628,0,0.000680129884137097,0.00365623333962983,0,"Control"
"286",46.915829841028,59.3464221615601,3.84835514176693,4.0833918355243,"1932","P1",3,0,0,0,0.535713560078411,0.0772938558378345,0.00479,"Control"
"2374",46.9584162638312,40.1773350253889,3.84926244973459,3.6933030312884,"1954","P7E1",25,0.46059003168293,3.35980360340516,0.00247726107583192,0.0168360878400737,0,0.14555,"Control"
"3405",46.9638155726293,67.9544556256902,3.84937742376573,4.2188377105694,"1951","P10E1",20,0.0231023148887241,0,3.46769311517592e-05,9.7836843566962e-05,1.78047707157258,0.7015,"Control"
"324",46.9780564908156,37.3319798596122,3.84968060951204,3.61985032820941,"1937","P1",8,0,0.392230857153038,0.663455435452441,0.201781598345914,0.00586361139086862,0.00969,"Control"
"10341",47.0128852349665,43.3619005058905,3.85042171807219,3.76958118702625,"2009","E1",3,66.4202592962287,0.0108675,0.100274235798946,0.00507928972005656,0.112406645687234,1.04843,"ControlModern"
"4341",47.0195785198507,11.4043911498936,3.8505640792234,2.43399846982153,"1941","P1E1",19,0,3.79754588464954e-05,0.0003575,0.254019183380833,0.000753825756380101,0.09345,"Control"
"578",47.0465350014218,43.6690339517042,3.85113721829123,3.77663924569804,"1939","P1",10,0,0,0.0455618611511594,0.00728750057269714,0.00035811449001503,1.16632,"Control"
"2835",47.2767016816034,53.9821333304533,3.856017609277,3.98865312756576,"1939","P10E1",8,0,0.00462924462605761,2.2099410241455,0.032514559482819,0.0320194663608123,0.30086,"Control"
"2931",47.3273521583091,29.1187191908755,3.85708839809607,3.37138123853134,"1933","P10E1",2,0,0,0,0.0184796888493539,6.29103626176713,0.1451,"Control"
"14441",47.368075167871,148.178484750643,3.8579484821196,4.9984175252016,"2014","E1",4,0,0,0,0.00142499999999997,2.66309792939296,0.52621,"No_shrub"
"7710",47.3732146823705,67.3385902174475,3.85805697788766,4.20973347822194,"2008","P7E1",2,0.0320939360086714,0.305228099021964,3.766236447168e-05,0.00246746109122625,0,0.55863,"ControlModern"
"308",47.3844906893298,38.5705112634094,3.85829497451217,3.65248802760051,"1935","P1",6,0,0.191415131021601,0.267961301344448,0.317626763471031,0.00538361978585911,0.00148,"Control"
"3951",47.5171611960004,76.683107473917,3.86109093412853,4.33968144257694,"1936","E1",5,0,0,0.140627910795834,0.0729868178782667,0.0231812742598943,1.26605,"Control"
"7610",47.597650428421,48.226322663934,3.86278339927163,3.87590498535055,"2008","P7E1",2,1.49388696978547,0.468546716716358,0.228058940593464,0.332547398016227,0,0.53378,"ControlModern"
"15651",47.681547226441,115.75509078383,3.86454447244958,4.75147667285304,"2014","E1",4,0,0,0,1.40449008484976,0.00513845253117534,0,"No_shrub"
"3802",47.7202953106933,52.4768289752588,3.86535678561571,3.96037171932053,"1936","E1",5,0.214718902003883,0,0.00767800260604729,0.109019757848787,0.0541214042049134,0.09271,"Control"
"976",47.9250350571255,79.8295413799886,3.86963802043119,4.37989362868303,"1938","P1",9,0.0022175,0,0.0948167193596361,0.0430782875140057,1.50430225626481,0.02009,"Control"
"254",47.9351176071557,13.2417760346274,3.86984837999744,2.58337668310086,"1956","P1E1",27,0,0.0109745099275586,0.0011975,0.0594755799976626,0.0257265648688946,0.14268,"Control"
"3859",47.9641563283182,43.5027207175049,3.8704539887963,3.77282348136876,"1941","E1",10,0,0,0.0533346722949147,0.101360852062383,0.167882230751429,0.13507,"Control"
"3967",48.0146710142454,72.0611925772083,3.87150661033774,4.27751565496385,"1939","E1",8,0.0291035694170486,0,0.385644480376631,0,0.13879862921682,0.14477,"Control"
"14011",48.0804485214115,100.657253358319,3.87287561883177,4.61172121464888,"2009","E1",3,0,0,0.00179581609434617,4.99999999999972e-06,2.73126680485459,0.15124,"ControlModern"
"807",48.1809267514733,67.6915576579383,3.87496323219213,4.21496146989615,"1931","P1",2,0,0,0.000154871490240401,2.04160621622843,0.367594852015887,0,"Control"
"3268",48.2088300231518,44.3595556455824,3.87554219977938,3.79232814542529,"1934","P10E1",3,0.184717635113377,0,0.00649472419392091,0.0117713535710614,0.0109987686555426,0.93757,"Control"
"816",48.2215266266582,100.543776529308,3.87580553186734,4.6105932200148,"1931","P1",2,0,0,0.0888375534774394,1.89306757001447,0.417764531652943,0,"Control"
"8610",48.226322663934,30.688889038476,3.87590498535055,3.42390066851328,"2009","P7E1",3,1.91850525197052,2.33942986790299,0.0277480875715038,0.179845307828422,2.5e-06,0.82456,"ControlModern"
"1022",48.272298237304,46.3583219406901,3.87685786066461,3.83640082154143,"1941","P1",12,0,0.0007625,7.89382843182804e-06,0.052802687517889,0.152375183415389,0.01612,"Control"
"32110",48.38974971031,34.7360079881165,3.8792880084486,3.54777684310241,"2010","P7E1",4,0,0.310220141673479,0.159738464636878,0.0226123845276705,4.2619146362338e-05,0.00184,"ControlModern"
